order_id,product_id,quantity,price
4855,96,1,1705.68
3633,49,4,71.6
4470,98,5,1136.86
3411,192,1,408.97
1266,107,2,1362.13
3575,147,2,200.2
3162,19,3,1287.46
1486,138,5,806.62
3207,89,1,553.44
1144,23,2,1243.04
4185,192,1,762.25
2270,141,1,1050.74
2084,179,1,97.2
1798,31,2,1191.84
1831,188,4,1306.49
1775,114,3,1847.56
4725,125,3,669.79
2213,72,4,394.88
2505,149,1,355.13
1414,199,3,1751.45
2202,134,2,1822.12
2238,66,4,611.75
724,26,5,133.65
4988,22,4,1949.51
3537,154,1,663.06
1044,105,2,712.67
3146,141,5,863.68
4228,100,5,471.23
4746,116,3,671.53
3053,77,4,769.64
4725,197,4,1271.6
3725,12,1,1636.69
932,143,4,1715.35
1114,80,5,274.82
70,92,5,1606.73
1325,16,2,1968.36
694,142,1,304.83
106,93,1,1065.94
1528,176,4,690.03
2812,80,4,1648.68
226,51,3,1101.2
1982,55,2,1300.58
1641,193,1,1534.42
4296,178,3,1573.64
2125,120,4,1187.63
1423,191,4,1440.78
1877,138,2,12.5
1162,145,4,1967.21
754,42,5,1260.47
432,144,2,1867.74
7,163,2,1365.69
4478,99,1,548.29
3314,163,1,1831.3
2473,126,3,1087.86
3169,48,3,165.62
4473,198,4,1819.63
1513,78,2,1569.74
2521,106,5,551.93
1068,190,1,297.16
1500,26,1,512.33
3907,110,1,318.09
1710,125,4,1166.0
1233,102,3,1448.15
2191,81,2,117.42
1703,131,2,121.91
28,8,3,1401.85
3187,38,2,652.96
2005,101,5,1759.77
1305,90,1,25.28
2568,146,3,852.66
3042,79,4,1871.55
1098,182,2,724.83
4692,144,5,1684.08
4141,156,3,1805.98
1012,35,4,531.06
4182,96,1,1671.61
4952,48,3,676.14
4914,86,3,1244.87
1905,195,4,1447.1
314,84,5,1582.59
849,83,2,842.21
3107,169,4,1122.89
2290,111,4,1743.72
1535,175,4,1149.3
3941,62,2,1187.74
248,57,4,328.0
3203,97,5,102.62
1989,13,3,1329.54
150,183,5,1616.42
1836,127,1,1989.05
1117,93,2,287.88
4592,164,2,324.33
3115,75,1,1305.72
3025,15,2,1664.99
3050,129,4,1881.48
981,169,2,1184.0
2870,185,1,1093.61
2817,88,2,619.06
2250,131,3,1111.44
2705,13,5,751.66
3143,160,4,741.69
4452,7,1,1277.1
671,88,5,69.43
3357,185,2,670.8
4240,56,4,627.37
2601,163,4,626.9
1828,73,2,98.99
1648,51,4,514.31
2575,13,4,725.9
4373,39,4,1209.81
1001,132,4,314.83
1211,14,4,1656.67
1987,131,2,1064.45
2105,125,1,477.39
2239,144,1,1659.31
2,109,5,560.22
3338,7,4,1148.27
25,159,4,84.33
3846,28,1,55.74
1613,47,3,1130.18
1905,88,5,1733.7
2635,141,5,259.12
1522,134,5,1807.58
4976,196,2,1766.67
293,133,2,84.18
2331,115,1,1165.27
1026,163,4,1582.74
3881,33,2,785.17
3504,186,2,1090.66
1313,64,5,1500.25
3190,128,5,321.26
2635,86,5,858.47
1405,53,4,1082.54
321,70,1,659.79
568,27,4,1896.99
2545,43,5,1467.47
2743,170,4,1846.22
769,183,1,1751.77
433,101,5,1915.94
3623,16,4,530.33
2694,133,4,1802.64
3988,148,3,1420.85
1633,166,4,429.15
2012,164,3,1302.67
1347,118,3,663.67
1246,96,2,199.89
4301,102,2,1128.72
2891,197,1,1290.44
1520,54,2,18.03
4882,49,4,1499.11
1632,143,5,1181.49
3992,193,2,1191.12
850,54,4,167.57
2777,62,4,1399.23
2887,114,2,125.96
2313,176,2,1023.89
4283,158,1,1122.81
1277,105,5,141.1
1959,177,2,507.54
2727,40,2,145.66
4134,38,2,1339.93
1300,135,3,1716.04
2914,56,4,1114.21
666,160,4,355.48
4194,4,1,1062.64
4900,57,1,1452.86
2419,139,2,152.89
2980,181,5,188.16
1991,16,4,632.98
2977,78,4,1931.44
3533,152,3,1529.76
740,67,5,1936.75
3114,83,5,1550.45
328,103,1,157.4
2950,134,2,1525.96
4829,10,4,947.4
59,75,3,439.1
4417,111,3,1638.09
273,133,2,162.4
1280,91,2,694.07
1453,99,4,784.57
3372,10,1,1610.9
3867,155,1,590.21
249,20,2,155.97
602,157,1,247.59
2367,85,2,20.03
1530,82,2,1674.55
1228,198,1,79.55
1860,190,4,593.48
2197,8,4,396.31
299,1,5,259.41
2650,153,2,179.08
1583,85,5,1084.57
4441,49,1,1943.41
565,167,1,73.23
4196,127,4,770.77
2936,65,2,800.46
961,2,3,1457.35
1304,77,2,1096.16
4596,4,3,813.6
1611,65,3,1898.43
2863,126,1,337.75
1191,139,4,1272.86
634,61,2,478.27
3604,21,1,1651.23
2934,155,2,702.82
2826,94,3,1625.17
635,166,1,828.44
4074,134,5,999.61
949,102,2,608.95
4659,32,2,1122.76
4127,114,3,864.75
421,43,3,189.71
3227,95,2,1616.84
4654,134,3,1860.67
838,52,2,265.62
777,23,4,1658.42
3395,124,5,1021.07
2783,124,3,161.21
885,34,1,904.58
717,46,3,1117.19
4532,30,1,1529.67
128,72,4,74.87
3073,95,2,1704.23
3177,94,2,1072.58
983,153,4,1675.42
692,106,5,1520.9
2466,28,4,174.76
4424,183,3,809.14
122,160,5,1735.04
3758,142,3,1256.88
378,49,4,845.74
4236,88,1,946.04
1590,20,2,1120.85
2683,8,1,1352.31
3264,119,3,362.83
395,149,1,1142.2
1320,155,5,900.69
68,29,3,683.85
4450,62,2,61.11
4976,78,1,734.22
1599,48,1,1463.55
3008,32,5,808.37
4400,132,2,562.71
1636,28,2,1636.23
3821,31,4,209.62
4393,70,5,1991.11
3447,76,5,466.08
887,20,2,1462.51
3693,7,2,763.53
749,165,2,1644.49
975,29,5,1528.4
491,42,3,863.93
4101,194,5,1890.58
3419,61,3,1726.19
4964,178,5,1406.07
4107,47,2,300.52
128,121,1,1609.2
4431,50,3,868.76
1456,85,1,467.33
4105,166,3,861.67
1959,114,1,24.69
2699,192,1,258.39
2562,175,5,72.92
626,170,4,547.49
1652,49,1,501.93
2078,171,1,1145.47
4972,155,5,1924.39
3172,139,4,545.29
2598,100,1,395.67
1784,69,2,334.43
4676,75,1,151.96
3914,187,4,1163.74
3468,27,3,884.21
3143,69,1,1917.72
1556,84,3,306.03
3646,22,4,414.71
1990,21,1,449.41
2949,149,5,788.19
346,198,1,1799.11
2850,34,3,126.25
29,17,3,696.83
4027,13,5,1867.28
541,159,4,1827.98
4629,179,2,1367.26
4128,117,5,1710.08
384,158,3,1062.58
70,143,2,746.46
4652,33,4,1916.7
4802,117,3,932.74
4982,102,4,636.66
4144,3,2,1140.64
3320,167,4,843.35
4199,137,2,634.76
327,153,2,1861.77
772,173,2,940.52
311,16,3,1145.41
1098,84,1,1857.76
3601,96,1,1617.68
2716,90,5,1581.51
1056,30,3,98.85
65,11,5,221.46
600,34,2,1870.18
4854,43,4,282.82
3393,116,5,977.51
3162,155,4,775.04
3529,37,2,1310.96
2461,70,5,1384.57
2984,15,2,1790.57
477,29,3,1182.71
1844,16,1,568.2
1757,181,3,357.1
509,65,4,1486.33
4052,2,5,1876.91
533,117,2,711.6
539,138,4,1410.61
1540,101,4,1931.15
3872,132,3,739.38
1426,122,4,263.4
2105,43,2,216.89
1838,55,2,1156.39
1107,131,3,550.35
3504,190,1,854.24
4334,138,2,56.15
4749,199,3,205.28
3859,200,3,970.2
4333,160,5,1115.23
657,173,5,1378.78
3190,72,4,1583.39
4671,161,3,1325.91
1061,96,1,1340.99
1846,12,3,1176.05
575,122,2,1056.93
904,132,5,1029.91
3753,168,1,1122.96
1677,89,3,1436.87
1072,118,2,1492.42
3325,125,3,674.99
4384,57,5,277.75
2435,178,5,15.36
3903,56,1,1634.88
3028,186,3,1131.6
4924,95,2,670.76
1319,156,4,1881.24
505,43,1,1591.97
953,86,2,982.54
2337,104,1,1139.32
886,191,5,832.74
2865,86,5,1731.8
462,113,1,74.9
4024,70,4,335.72
2143,111,5,1683.03
1004,49,5,1895.42
2812,80,2,688.07
1033,118,3,305.36
1829,125,4,577.53
4966,39,4,1805.39
378,15,1,946.9
4260,124,2,676.99
4822,101,2,924.5
4120,27,1,799.86
4616,79,2,576.23
2658,145,5,594.89
3004,142,4,182.44
3899,175,2,48.98
529,40,2,1750.24
519,198,5,1091.86
610,70,5,1237.5
3280,122,5,207.04
4785,156,3,178.33
3848,11,1,1672.01
2399,33,4,1260.16
2690,105,5,1900.3
768,154,2,98.44
2671,60,4,1106.3
2583,50,4,1485.88
1156,132,3,37.96
1428,6,5,1069.48
556,159,5,1406.35
3370,146,5,874.43
1547,145,2,1416.73
4683,191,1,1229.16
4682,46,4,695.44
3076,184,1,1113.24
1843,100,3,630.09
3554,4,2,26.61
4229,97,2,679.2
4973,79,3,1484.19
4771,66,1,1212.9
531,91,3,1044.56
4635,12,4,914.36
1849,96,3,1275.99
2118,154,3,1521.42
3787,6,3,684.29
1977,141,5,368.11
3686,191,5,1758.41
961,115,3,1081.93
4461,111,4,583.51
4585,115,3,856.77
1745,196,4,493.63
1939,78,3,1547.21
1114,95,2,957.4
2918,133,3,1205.93
3086,104,3,1164.6
2535,185,3,1425.27
2493,16,3,669.38
1480,161,2,1824.35
675,14,3,318.27
376,54,1,1169.44
4198,80,1,301.75
3719,16,4,793.94
4825,60,3,138.14
4143,92,4,1194.49
379,34,5,189.23
2448,87,3,1836.8
1215,160,4,585.61
3363,137,5,404.74
4240,55,5,1386.6
2377,76,4,515.4
107,179,5,523.65
1296,16,2,114.92
1571,125,4,1615.37
3663,82,3,1161.05
1771,148,4,167.33
2268,6,3,409.08
830,15,1,162.25
3942,177,4,891.42
4025,77,4,353.25
3199,131,5,1091.66
500,48,5,1672.39
4849,8,3,931.37
4291,162,3,703.76
